datetime,Open,High,Low,Close,Volume
20140102,404.06,404.43,399.64,399.82,0
20140103,400.51,402.6,399.13,401.97,0
20140106,401.46,402.71,399.6,399.85,0
20140107,400.67,403.27,399.23,402.97,0
20140108,403.53,403.9,402.63,403.86,0
20140109,403.86,405.0,401.11,401.97,0
20140110,404.03,405.95,402.97,403.95,0
20140113,404.88,405.38,403.31,404.93,0
20140114,400.87,406.57,400.46,406.57,0
20140115,407.38,408.93,406.65,408.62,0
20140116,408.37,408.72,407.08,407.59,0
20140117,404.92,408.55,404.92,408.26,0
20140120,407.3,408.03,406.54,408.0,0
20140121,408.34,408.81,404.26,405.19,0
20140122,406.97,408.37,405.47,407.45,0
20140123,406.08,408.1,403.14,403.89,0
20140124,404.39,404.98,393.54,393.85,0
20140127,393.14,393.89,389.82,390.79,0
20140128,391.81,393.14,390.22,392.23,0
20140129,395.47,396.51,384.68,389.33,0
20140130,388.72,392.11,386.38,389.61,0
20140131,388.1,389.09,381.72,386.85,0
20140203,385.76,388.54,383.28,383.63,0
20140204,380.86,384.26,379.51,382.98,0
20140205,381.58,384.61,380.96,382.65,0
20140206,384.51,389.67,383.51,388.41,0
20140207,389.44,391.11,387.68,389.54,0
20140210,390.81,391.06,388.8,389.64,0
20140211,390.78,394.96,390.59,394.96,0
20140212,396.28,399.53,396.22,397.42,0
20140213,396.98,397.52,394.77,397.0,0
20140214,397.57,399.64,397.42,398.95,0
20140217,399.75,401.82,399.64,401.24,0
20140218,401.99,402.46,399.62,401.62,0
20140219,401.13,402.36,399.74,401.54,0
20140220,396.66,398.76,395.78,398.76,0
20140221,400.54,400.89,399.43,400.36,0
20140224,399.34,401.76,398.8,401.76,0
20140225,400.56,401.03,398.58,400.77,0
20140226,401.06,401.48,397.32,398.64,0
20140227,399.05,400.17,394.84,398.28,0
20140228,399.01,399.77,396.61,398.54,0
20140303,392.02,394.0,386.66,388.19,0
20140304,392.49,398.89,392.31,398.73,0
20140305,398.25,399.53,397.56,398.62,0
20140306,399.92,400.83,398.58,400.06,0
20140307,399.43,400.93,396.0,396.28,0
20140310,395.74,399.06,392.01,393.4,0
20140311,394.64,396.34,392.58,394.29,0
20140312,391.75,392.54,388.51,391.41,0
20140313,391.64,392.04,386.06,386.06,0
20140314,383.48,383.89,379.8,382.65,0
20140317,383.28,388.34,382.73,386.92,0
20140318,386.29,391.35,384.14,389.37,0
20140319,389.54,390.5,388.01,388.88,0
20140320,387.07,390.82,385.67,390.82,0
20140321,391.57,393.55,390.02,391.36,0
20140324,391.92,392.4,387.24,388.23,0
20140325,389.26,393.48,389.26,393.13,0
20140326,394.35,398.09,394.08,396.89,0
20140327,395.87,398.59,395.58,398.59,0
20140328,399.98,401.95,399.56,401.79,0
20140331,403.92,405.09,402.78,403.21,0
20140401,404.58,406.42,403.42,405.62,0
20140402,406.01,406.97,405.66,406.14,0
20140403,406.65,406.95,404.73,405.69,0
20140404,406.1,408.42,405.64,407.46,0
20140407,404.51,406.22,403.23,404.04,0
20140408,404.42,404.61,399.54,402.54,0
20140409,403.33,404.17,402.52,403.39,0
20140410,404.77,405.28,401.15,401.9,0
20140411,398.43,399.04,394.16,395.64,0
20140414,394.16,395.69,391.29,395.54,0
20140415,395.67,396.33,392.61,392.66,0
20140416,394.97,395.99,393.11,395.99,0
20140417,396.38,396.91,393.81,396.76,0
20140422,396.09,399.29,395.27,398.3,0
20140423,398.01,398.16,396.89,397.34,0
20140424,399.39,399.41,393.32,397.1,0
20140425,394.68,395.51,391.83,392.85,0
20140428,393.62,395.23,392.19,393.73,0
20140429,394.83,398.51,394.29,398.47,0
20140430,399.75,401.35,399.29,400.55,0
20140502,399.81,400.84,398.45,399.23,0
20140505,396.04,397.65,392.72,397.44,0
20140506,397.99,398.72,395.22,396.54,0
20140507,395.08,399.37,394.77,398.59,0
20140508,399.45,403.17,398.36,402.98,0
20140509,402.3,402.38,400.88,401.93,0
20140512,402.24,404.34,401.51,403.78,0
20140513,405.16,405.4,404.06,404.65,0
20140514,404.27,404.27,402.75,403.33,0
20140515,403.29,404.89,399.07,400.25,0
20140516,400.19,400.93,397.71,399.56,0
20140519,399.26,401.28,397.94,401.04,0
20140520,401.1,402.05,399.57,400.8,0
20140521,399.89,403.27,398.9,402.9,0
20140522,405.03,405.03,403.03,404.14,0
20140523,404.26,405.59,403.54,405.14,0
20140526,406.06,407.1,405.82,406.88,0
20140527,406.72,407.76,406.43,406.81,0
20140528,405.95,406.15,404.61,405.94,0
20140529,405.4,407.74,405.4,407.44,0
20140530,407.28,408.34,406.59,407.21,0
20140602,408.71,409.29,407.8,408.77,0
20140603,408.92,408.95,407.36,408.61,0
20140604,407.9,408.85,406.5,408.07,0
20140605,408.05,413.29,406.59,410.97,0
20140606,411.31,413.49,411.04,413.26,0
20140609,413.92,415.46,413.77,415.46,0
20140610,414.62,415.86,414.59,415.86,0
20140611,415.13,415.52,412.69,414.45,0
20140612,414.47,415.91,414.04,414.74,0
20140613,414.52,414.96,412.25,414.05,0
20140616,413.3,414.11,412.24,412.54,0
20140617,414.25,414.83,412.88,414.58,0
20140618,415.08,416.77,414.93,415.48,0
20140619,418.47,419.04,417.45,417.98,0
20140620,417.64,419.57,417.14,417.9,0
20140623,418.21,418.28,414.87,415.59,0
20140624,416.37,416.97,414.74,415.78,0
20140625,413.71,413.95,410.54,411.93,0
20140626,412.41,412.74,408.6,410.81,0
20140627,411.52,411.83,410.03,410.86,0
20140630,411.22,413.94,411.15,413.15,0
20140701,413.45,415.69,413.44,415.48,0
20140702,415.45,417.2,415.25,415.85,0
20140703,416.56,419.85,415.95,419.53,0
20140704,419.23,419.94,418.7,418.7,0
20140707,418.03,418.47,414.12,414.12,0
20140708,414.4,414.86,409.76,409.76,0
20140709,410.91,411.15,408.8,410.49,0
20140710,410.01,410.07,402.15,403.39,0
20140711,404.16,405.04,402.31,403.61,0
20140714,403.92,407.1,403.78,406.55,0
20140715,405.48,406.78,404.01,404.01,0
20140716,404.53,408.78,404.53,408.78,0
20140717,406.94,408.51,404.6,404.84,0
20140718,402.98,404.49,401.56,404.4,0
20140721,404.49,404.6,401.9,403.71,0
20140722,405.64,408.26,405.45,407.95,0
20140723,406.77,409.92,406.46,408.53,0
20140724,407.26,410.3,405.81,409.98,0
20140725,409.02,409.83,403.73,404.84,0
20140728,406.07,406.22,401.88,404.68,0
20140729,405.91,408.63,403.87,407.31,0
20140730,406.65,410.4,405.77,407.96,0
20140731,408.69,409.39,403.42,404.29,0
20140801,403.54,404.62,397.25,398.56,0
20140804,400.03,400.03,394.74,395.95,0
20140805,397.11,399.13,396.54,398.38,0
20140806,396.33,398.1,393.35,397.21,0
20140807,396.46,398.66,394.04,394.2,0
20140808,390.8,391.78,388.14,390.25,0
20140811,392.86,397.31,392.84,396.65,0
20140812,396.33,396.9,393.66,394.22,0
20140813,394.96,396.39,393.93,395.27,0
20140814,394.12,396.8,393.79,395.84,0
20140815,396.77,400.53,395.24,395.35,0
20140818,399.04,400.2,398.63,399.91,0
20140819,401.15,403.68,400.83,403.31,0
20140820,403.51,404.81,402.17,403.32,0
20140821,403.36,405.77,402.68,405.77,0
20140822,406.41,406.41,402.54,404.48,0
20140825,407.68,409.47,406.35,409.32,0
20140826,408.97,413.02,408.42,412.93,0
20140827,412.2,413.6,412.03,413.19,0
20140828,412.5,412.72,410.62,412.14,0
20140829,413.02,413.34,410.08,413.13,0
20140901,413.4,414.23,413.13,414.23,0
20140902,414.83,416.19,413.88,415.0,0
20140903,416.28,418.88,415.89,417.21,0
20140904,416.48,422.77,416.35,421.59,0
20140905,421.15,421.77,419.61,421.11,0
20140908,421.28,421.28,418.41,420.6,0
20140909,420.13,420.6,418.06,418.4,0
20140910,417.63,419.36,416.46,418.95,0
20140911,420.25,420.46,416.17,418.01,0
20140912,418.48,419.14,417.07,417.8,0
20140915,416.64,418.43,415.71,417.65,0
20140916,417.87,417.99,415.87,417.4,0
20140917,418.96,419.97,417.79,417.84,0
20140918,418.48,422.18,418.18,422.05,0
20140919,424.24,425.74,422.79,425.74,0
20140922,422.86,423.52,421.65,422.05,0
20140923,421.71,422.33,417.05,418.83,0
20140924,418.83,421.48,417.23,421.42,0
20140925,421.35,422.84,416.57,417.25,0
20140926,417.87,419.41,415.22,418.49,0
20140929,418.52,419.45,415.7,418.18,0
20140930,419.46,421.95,418.6,421.14,0
20141001,419.71,421.48,415.93,416.8,0
20141002,415.13,415.67,406.22,406.22,0
20141003,410.12,412.51,408.85,411.19,0
20141006,412.91,414.4,410.98,412.24,0
20141007,410.9,410.9,406.51,406.51,0
20141008,404.48,405.4,402.32,403.46,0
20141009,407.34,408.2,401.19,402.66,0
20141010,399.27,400.31,394.28,395.68,0
20141013,391.47,396.51,390.6,394.33,0
20141014,391.0,393.97,386.4,393.3,0
20141015,393.08,394.28,379.53,379.69,0
20141016,382.31,383.89,366.84,376.27,0
20141017,377.67,387.66,376.18,387.06,0
20141020,385.59,387.16,380.86,384.4,0
20141021,383.75,394.49,381.56,394.49,0
20141022,395.27,396.17,392.45,396.01,0
20141023,392.46,397.39,389.42,396.89,0
20141024,395.43,396.49,393.45,396.12,0
20141027,400.22,400.68,392.69,395.05,0
20141028,397.77,401.98,397.77,401.26,0
20141029,403.34,403.5,400.4,401.1,0
20141030,404.11,405.01,396.3,403.71,0
20141031,409.52,411.81,407.25,411.32,0
20141103,410.98,412.81,408.34,409.04,0
20141104,408.83,410.31,403.15,403.78,0
20141105,407.61,411.16,406.04,410.66,0
20141106,408.8,415.74,408.76,413.15,0
20141107,414.67,414.97,409.46,411.43,0
20141110,411.01,415.02,411.01,414.96,0
20141111,415.57,417.41,414.05,415.18,0
20141112,414.21,415.62,411.14,411.93,0
20141113,412.73,413.83,408.87,411.41,0
20141114,412.42,412.42,408.99,411.97,0
20141117,409.02,414.8,408.61,414.07,0
20141118,414.51,417.81,413.81,417.16,0
20141119,416.75,419.44,416.13,417.79,0
20141120,417.75,418.33,414.37,416.81,0
20141121,418.01,424.73,417.3,423.46,0
20141124,423.49,425.84,422.32,422.91,0
20141125,423.06,425.75,421.66,423.18,0
20141126,424.11,425.48,423.5,423.97,0
20141127,425.12,426.99,425.04,425.75,0
20141128,424.99,426.02,422.97,425.86,0
20141201,422.62,424.45,421.61,423.47,0
20141202,425.4,428.84,424.64,428.48,0
20141203,428.8,429.93,428.29,428.61,0
20141204,430.2,432.22,422.86,423.68,0
20141205,427.29,431.22,426.69,431.06,0
20141208,429.34,430.62,427.27,427.27,0
20141209,423.49,424.37,418.16,418.43,0
20141210,419.33,421.39,415.64,416.71,0
20141211,415.64,418.52,413.89,416.77,0
20141212,413.88,414.35,405.63,406.17,0
20141215,404.94,408.89,395.61,396.09,0
20141216,397.78,404.17,389.31,403.79,0
20141217,398.05,404.53,397.09,403.46,0
20141218,409.81,416.56,407.97,416.44,0
20141219,419.93,421.35,414.39,418.37,0
20141222,420.24,424.08,420.24,421.58,0
20141223,423.97,426.77,422.64,426.77,0
20141224,425.97,427.44,425.33,425.57,0
20141229,428.03,428.32,422.86,426.89,0
20141230,424.85,424.85,421.56,421.59,0
20141231,423.55,424.7,422.27,424.47,0
